Date,Close,High,Low,Open,Volume,Return,MA_7,Year_High
2023-01-02,1175.8896484375,1177.3048023328713,1163.244668797144,1164.066351583663,5316175,,,1177.3048023328713
2023-01-03,1167.2845458984375,1174.5657054277967,1163.0620263922654,1170.9365362462836,7658932,-0.007317950753709557,,1177.3048023328713
2023-01-04,1149.7095947265625,1169.1107276232437,1147.6325061253483,1167.2618507099899,9264891,-0.01505626989891129,,1177.3048023328713
2023-01-05,1147.6553955078125,1157.858149023016,1143.0676158255733,1151.969321148222,13637099,-0.0017867113818760272,,1177.3048023328713
2023-01-06,1158.086181640625,1163.1305046928026,1149.595379440652,1153.4071180013361,6349597,0.009088778890981475,,1177.3048023328713
2023-01-09,1185.4302978515625,1187.8041821914996,1161.0306065888913,1161.9207528429104,10722753,0.02361146920188606,,1187.8041821914996
2023-01-10,1167.90087890625,1189.6301316742909,1162.2403842296717,1189.6301316742909,8047142,-0.014787388998815265,1164.565220424107,1189.6301316742909
2023-01-11,1153.1790771484375,1167.7184566325625,1150.873655990327,1165.2077656913489,11509553,-0.012605352066863418,1161.3208530970983,1189.6301316742909
2023-01-12,1128.2769775390625,1156.077627831873,1125.2641003718309,1152.5855061360771,17688773,-0.021594304044218804,1155.7483433314733,1189.6301316742909
2023-01-13,1126.451171875,1128.8705782042637,1111.3867843100481,1122.2513519945564,20618583,-0.001618224691639858,1152.4257114955358,1189.6301316742909
2023-01-16,1115.723388671875,1131.951774613395,1107.917221092014,1128.7791493112115,13623855,-0.009523522608857027,1147.8639962332588,1189.6301316742909
2023-01-17,1131.56396484375,1133.4811846812154,1118.690771838856,1122.0687880986452,10751000,0.014197583677735048,1144.0751081194196,1189.6301316742909
2023-01-18,1129.692138671875,1137.178689301756,1123.1414974309203,1129.1444306357287,13448286,-0.0016541938679829338,1136.112513950893,1189.6301316742909
2023-01-19,1128.4825439453125,1132.6366004638107,1121.4524163802744,1128.8705038207283,11940054,-0.0010707295245805382,1130.4813232421875,1189.6301316742909
2023-01-20,1115.0615234375,1129.8291140692525,1112.596474928504,1129.8291140692525,14930286,-0.011892980161563704,1125.0359584263392,1189.6301316742909
2023-01-23,1109.4237060546875,1125.811961602633,1107.004299933337,1117.960272105855,10954118,-0.005056059476819086,1122.3426339285713,1189.6301316742909
2023-01-24,1102.873046875,1115.51790607312,1089.8171651533376,1113.851719292168,16488755,-0.005904560308146678,1118.974330357143,1189.6301316742909
2023-01-25,1087.6259765625,1102.302402806859,1086.461976225218,1101.2753294802073,12385018,-0.01382486439006081,1114.960414341518,1189.6301316742909
2023-01-27,1066.992431640625,1089.817223588686,1055.260418546103,1088.4706538388855,25830975,-0.018971177009847073,1105.7359095982142,1189.6301316742909
2023-01-30,1077.218017578125,1082.764407064242,1050.3987961919847,1064.4132886312711,21772103,0.009583559952507814,1098.2396065848213,1189.6301316742909
2023-01-31,1074.5244140625,1089.9540573273835,1068.6584086670991,1087.3747826880974,22691594,-0.0025005184388587898,1090.5313023158483,1189.6301316742909
2023-02-01,1068.1563720703125,1086.4390237052419,1052.2245419941687,1086.4390237052419,19347800,-0.005926381856798946,1083.83056640625,1189.6301316742909
2023-02-02,1062.2447509765625,1071.85391093282,1054.9635914721293,1058.1590377354637,13662663,-0.005534415417371874,1077.0907156808037,1189.6301316742909
2023-02-03,1063.1806640625,1072.3105805967245,1046.7467660021255,1072.3105805967245,24699575,0.0008810710385502851,1071.420375279018,1189.6301316742909
2023-02-06,1055.169189453125,1059.528757546533,1052.5900349184292,1056.7897340697052,14837879,-0.0075353840416571005,1066.78369140625,1189.6301316742909
2023-02-07,1052.6356201171875,1062.4502927137798,1046.7467924098464,1055.4202857843334,15135435,-0.002401102459455462,1064.7327183314733,1189.6301316742909
2023-02-08,1073.6573486328125,1077.28651848918,1053.1378561171298,1055.876758827137,21160332,0.019970565420619923,1064.2240513392858,1189.6301316742909
2023-02-09,1075.52880859375,1082.284961068636,1065.463103759131,1074.341987106508,13172763,0.0017430700430827173,1064.3675362723213,1189.6301316742909
2023-02-10,1066.6728515625,1075.0039060071294,1059.6655455942528,1075.0039060071294,10790445,-0.008234049111923936,1064.1556047712054,1189.6301316742909
2023-02-13,1060.6014404296875,1072.7670546240697,1056.127767130611,1068.293381324993,10352493,-0.005691914933354525,1063.9208461216517,1189.6301316742909
2023-02-14,1085.5947265625,1087.329376978281,1060.738487756277,1063.6144381671827,14321920,0.023565201007728964,1067.1228550502233,1189.6301316742909
2023-02-15,1110.1768798828125,1112.5735854842064,1083.2664969637603,1084.6358877756606,33503591,0.0226439505635323,1074.9810965401787,1189.6301316742909
2023-02-16,1109.3094482421875,1124.7162706791198,1107.0269694456317,1118.1655094417106,17264487,-0.0007813454381400131,1083.077357700893,1189.6301316742909
2023-02-17,1113.94287109375,1117.2753650050747,1100.4305676175113,1104.7216712307097,11809520,0.004176853319787899,1088.8324323381696,1189.6301316742909
2023-02-20,1102.16552734375,1118.3026298698114,1100.2025445254703,1116.13425652598,8836937,-0.010572664052723058,1092.6376778738838,1189.6301316742909
2023-02-21,1111.1585693359375,1116.9559918914763,1101.2296696771075,1106.5479683974272,13311592,0.008159429567590415,1098.9927804129463,1189.6301316742909
2023-02-22,1085.959716796875,1109.2866925279875,1084.2022454513722,1107.4379365148654,11024335,-0.022677998653353404,1102.6153913225446,1189.6301316742909
2023-02-23,1080.7557373046875,1093.1953270218976,1077.9483712962124,1085.5490279902117,9851910,-0.0047920557380682904,1101.924107142857,1189.6301316742909
2023-02-24,1088.1510009765625,1093.8344379808216,1080.9840672539892,1082.8100022510873,9434053,0.006842678152528814,1098.777553013393,1189.6301316742909
2023-02-27,1080.91552734375,1090.8672478016565,1073.543202799622,1087.3750050988056,11199715,-0.006649328655966902,1094.7212785993304,1189.6301316742909
2023-02-28,1060.2362060546875,1080.5274845520237,1056.1734344203933,1075.5516247048565,21994038,-0.01913130190652368,1087.0488978794642,1189.6301316742909
2023-03-01,1069.982421875,1070.712820002187,1060.5557097259696,1070.0280642112666,11551145,0.009192494808849982,1082.4513113839287,1189.6301316742909
2023-03-02,1061.8338623046875,1073.5202315216086,1059.8024162422653,1066.8325430044117,9333535,-0.007615601344210132,1075.4049246651787,1189.6301316742909
2023-03-03,1088.9271240234375,1092.6019362119685,1068.9098180563456,1072.3791189632545,14643807,0.025515537487140083,1075.8288399832588,1189.6301316742909
2023-03-06,1099.5633544921875,1106.8216933590497,1095.5918675399987,1095.5918675399987,10171916,0.009767623777659828,1078.5156424386162,1189.6301316742909
2023-03-08,1103.5120849609375,1104.265304210858,1088.7443751303776,1099.5632986303585,15782657,0.0035911804923451918,1080.7100830078125,1189.6301316742909
2023-03-09,1076.9896240234375,1103.3066574341256,1075.095225544964,1102.8958764013148,16235128,-0.024034590376451392,1080.1492396763392,1189.6301316742909
2023-03-10,1060.3046875,1070.0280749321848,1056.8124450060086,1068.8868957671646,13334091,-0.015492198022396542,1080.1590227399554,1189.6301316742909
2023-03-13,1042.8665771484375,1070.0281154160118,1038.5298305140532,1063.1806779260546,12771592,-0.016446320154142047,1076.2853306361608,1189.6301316742909
2023-03-14,1038.9635009765625,1052.2018311560978,1035.8136967949142,1040.812257084253,16027522,-0.0037426419231378905,1073.0181361607142,1189.6301316742909
2023-03-15,1021.205810546875,1049.1662111592916,1016.800600298463,1042.6840329673732,21728555,-0.017091736536458013,1063.3436628069196,1189.6301316742909
2023-03-16,1016.1157836914062,1028.9433330363881,1005.2968594074098,1023.921951504309,18363159,-0.004984330095755052,1051.4225812639509,1189.6301316742909
2023-03-17,1014.8377075195312,1028.007574780085,1010.0901194945558,1024.7208434439497,34014213,-0.0012578056481240552,1038.7548130580358,1189.6301316742909
2023-03-20,1004.8632202148438,1013.4225471579439,995.1626537042278,1011.1400680229121,19524589,-0.009828652631628354,1028.4510410853795,1189.6301316742909
2023-03-21,1036.1102294921875,1038.0732119172073,1012.0528577510236,1012.9430039303461,21400360,0.031095783633779517,1024.9946899414062,1189.6301316742909
2023-03-22,1039.26025390625,1046.0392280531037,1036.2473765076484,1043.0948141638403,10920094,0.003040240627299351,1024.479500906808,1189.6301316742909
2023-03-23,1026.1131591796875,1036.2016854580306,1023.9447859117854,1035.3343603002547,16249370,-0.01265043541995059,1022.6437377929688,1189.6301316742909
2023-03-24,1005.7989501953125,1027.117362031003,1003.3795441878093,1024.9489888672188,12375945,-0.019797240492086643,1020.4427577427456,1189.6301316742909
2023-03-27,1021.4338989257812,1028.9432703448797,1004.3838307288752,1012.2812223607901,14054323,0.015544805179437349,1021.2024884905134,1189.6301316742909
2023-03-28,1026.2044677734375,1030.0846702786253,1021.1829653124684,1024.8349561252708,12576424,0.004670462623840299,1022.8263113839286,1189.6301316742909
2023-03-29,1020.1329956054688,1024.743595933455,1009.3596536883372,1022.0958575091914,18804065,-0.005916435134161957,1025.0077078683037,1189.6301316742909
2023-03-31,1064.116455078125,1069.7770709600845,1029.2629756900762,1029.3999027039445,28171201,0.04311541697222654,1029.0085972377233,1189.6301316742909
2023-04-03,1064.299072265625,1072.3106311531849,1056.7896998650788,1070.4846960590223,10293043,0.00017161391183129204,1032.5855712890625,1189.6301316742909
2023-04-05,1061.74267578125,1071.8540232011114,1053.8453439607506,1071.8540232011114,16262928,-0.0024019531267025496,1037.675502232143,1189.6301316742909
2023-04-06,1068.8638916015625,1074.592970502133,1058.2275373074351,1058.2275373074351,18435046,0.006707101431213225,1046.684779575893,1189.6301316742909
2023-04-10,1061.2861328125,1072.9496819536614,1059.779694186431,1072.7671126043012,12961408,-0.0070895451222589,1052.3779558454241,1189.6301316742909
2023-04-11,1066.535888671875,1068.6586196822263,1060.9210357303307,1065.4631729553812,10542367,0.004946597997528501,1058.1395874023438,1189.6301316742909
2023-04-12,1071.23779296875,1080.8925957399235,1063.6599579243734,1066.5357872569193,18179087,0.00440857578897802,1065.4402727399554,1189.6301316742909
2023-04-13,1075.27783203125,1079.9797173840186,1069.1151503508545,1074.1365320735108,12378208,0.003771374655578308,1067.0347551618304,1189.6301316742909
2023-04-17,1080.73291015625,1106.9814803229494,1072.333391852291,1106.9814803229494,17929479,0.005073180123777998,1069.3824462890625,1189.6301316742909
2023-04-18,1068.3619384765625,1085.0925121063174,1061.8111761257844,1085.0925121063174,10405576,-0.011446835349817275,1070.3280552455358,1189.6301316742909
2023-04-19,1073.6800537109375,1076.3733137885806,1064.64142217666,1067.768405195298,12273475,0.004977821693983531,1071.016078404018,1189.6301316742909
2023-04-20,1070.9637451171875,1076.875393044396,1064.5956738732273,1074.638556551585,7007330,-0.0025299050535229073,1072.3985944475446,1189.6301316742909
2023-04-21,1072.310546875,1077.7884724738815,1066.5586465106753,1073.0637661728558,7647317,0.0012575605513753807,1073.2235456194196,1189.6301316742909
2023-04-24,1076.4190673828125,1086.8727319946267,1071.8539885727766,1084.1794719407253,12936186,0.003831465166304504,1073.9637276785713,1189.6301316742909
2023-04-25,1084.6588134765625,1086.7359021827194,1072.995384428631,1080.0710338352167,9236126,0.007654775303993722,1075.3038678850446,1189.6301316742909
2023-04-26,1078.290771484375,1089.2467445727555,1074.6159592843226,1086.005534613959,8617834,-0.005871009310085773,1074.9549909319196,1189.6301316742909
2023-04-27,1085.1153564453125,1088.2879820525134,1079.158065119624,1084.1795677314856,9167125,0.006329076665974487,1077.3483363560267,1189.6301316742909
2023-04-28,1104.9500732421875,1106.5022750107378,1087.2608896802224,1087.374995527852,15565210,0.018278901573977047,1081.8154820033483,1189.6301316742909
2023-05-02,1114.3311767578125,1116.4995501680314,1108.4195276994035,1112.1171610071847,12981805,0.008490070042801667,1088.0108293805804,1189.6301316742909
2023-05-03,1104.7674560546875,1116.1342091904096,1101.549188303151,1116.1342091904096,7061872,-0.008582476109975645,1092.6475306919642,1189.6301316742909
2023-05-04,1117.503662109375,1119.717677582049,1102.2567073883076,1105.2467632974385,8635233,0.011528404448272411,1098.5167585100446,1189.6301316742909
2023-05-05,1114.650634765625,1123.5979821409157,1112.0258380416835,1114.3083172243437,8746585,-0.0025530362364671877,1102.801304408482,1189.6301316742909
2023-05-08,1128.4139404296875,1133.7777597410543,1115.7461404298203,1118.4165791288924,9153782,0.01234764080761197,1109.9617571149554,1189.6301316742909
2023-05-09,1131.90625,1135.2159233997013,1124.4653410768628,1129.8291612797643,6464721,0.0030948833980042334,1116.6461704799108,1189.6301316742909
2023-05-10,1139.6895751953125,1141.173192717246,1132.659447469911,1136.6766978121202,10872255,0.006876298452555218,1121.6089564732142,1189.6301316742909
2023-05-11,1132.2486572265625,1145.578272899187,1130.536707274967,1140.7622816578707,10557860,-0.006528898860441723,1124.1685965401787,1189.6301316742909
2023-05-12,1134.097412109375,1135.4897449397138,1121.3839680276494,1127.4553650769165,6955341,0.001632817023904387,1128.3585902622767,1189.6301316742909
2023-05-15,1136.334228515625,1143.318592964205,1128.9846046154787,1136.6310244600713,6833343,0.0019723318141513513,1131.0486711774554,1189.6301316742909
2023-05-16,1120.1513671875,1141.058816015231,1118.4850597805391,1138.5024831085086,8717229,-0.01424128651766865,1131.8344900948662,1189.6301316742909
2023-05-17,1113.5322265625,1125.2641183192468,1108.830341392445,1124.3511508366894,8798967,-0.005909148369491746,1129.708530970982,1189.6301316742909
2023-05-18,1111.1356201171875,1121.6122266625744,1107.9856952056505,1118.2112689036005,10525531,-0.002152256026492272,1126.7412981305804,1189.6301316742909
2023-05-19,1114.7418212890625,1116.5678769225615,1104.1967514891073,1111.1355938507186,8050447,0.0032455094648973226,1123.1773332868304,1189.6301316742909
2023-05-22,1120.6990966796875,1125.720598669704,1110.3595382742935,1111.5691808774143,7434906,0.005344085309131108,1121.5273960658483,1189.6301316742909
2023-05-23,1120.49365234375,1126.6335119735163,1119.0784985578177,1123.2783175836105,6092034,-0.00018331801689330796,1119.5840018136162,1189.6301316742909
