Date,RELIANCE.NS,Market,Return,Market_Return,MA_7,Volatility,Correlation
2023-01-02,1175.8896484375,18197.44921875,0.0,0.0,0.0,0.0,0.0
2023-01-03,1167.2845458984375,18232.55078125,-0.007317950753709557,0.00192892762485819,0.0,0.0,0.0
2023-01-04,1149.7095947265625,18042.94921875,-0.01505626989891129,-0.010399069487028845,0.0,0.0,0.0
2023-01-05,1147.6553955078125,17992.150390625,-0.0017867113818760272,-0.0028154392892826285,0.0,0.0,0.0
2023-01-06,1158.086181640625,17859.44921875,0.009088778890981475,-0.007375503705446151,0.0,0.0,0.0
2023-01-09,1185.4302978515625,18101.19921875,0.02361146920188606,0.013536251708490266,0.0,0.0,0.0
2023-01-10,1167.90087890625,17914.150390625,-0.014787388998815265,-0.010333504750958511,1164.565220424107,0.0,0.0
2023-01-11,1153.1790771484375,17895.69921875,-0.012605352066863418,-0.0010299775022909463,1161.3208530970983,0.0,0.0
2023-01-12,1128.2769775390625,17858.19921875,-0.021594304044218804,-0.00209547554088918,1155.7483433314733,0.0,0.0
2023-01-13,1126.451171875,17956.599609375,-0.001618224691639858,0.005510095918388247,1152.4257114955358,0.0,0.0
2023-01-16,1115.723388671875,17894.849609375,-0.009523522608857027,-0.003438847072569362,1147.8639962332588,0.0,0.0
2023-01-17,1131.56396484375,18053.30078125,0.014197583677735048,0.008854568511824201,1144.0751081194196,0.0,0.0
2023-01-18,1129.692138671875,18165.349609375,-0.0016541938679829338,0.006206556323560042,1136.112513950893,0.0,0.0
2023-01-19,1128.4825439453125,18107.849609375,-0.0010707295245805382,-0.003165367099256078,1130.4813232421875,0.0,0.0
2023-01-20,1115.0615234375,18027.650390625,-0.011892980161563704,-0.004428975305189153,1125.0359584263392,0.0,0.0
2023-01-23,1109.4237060546875,18118.55078125,-0.005056059476819086,0.005042276095628795,1122.3426339285713,0.0,0.0
2023-01-24,1102.873046875,18118.30078125,-0.005904560308146678,-1.3798013043020418e-05,1118.974330357143,0.0,0.0
2023-01-25,1087.6259765625,17891.94921875,-0.01382486439006081,-0.01249297962501228,1114.960414341518,0.0,0.0
2023-01-27,1066.992431640625,17604.349609375,-0.018971177009847073,-0.016074246906178757,1105.7359095982142,0.0,0.0
2023-01-30,1077.218017578125,17648.94921875,0.009583559952507814,0.0025334426073457816,1098.2396065848213,0.0,0.0
2023-01-31,1074.5244140625,17662.150390625,-0.0025005184388587898,0.0007479862801675896,1090.5313023158483,0.0,0.0
2023-02-01,1068.1563720703125,17616.30078125,-0.005926381856798946,-0.0025959245256645946,1083.83056640625,17.840548915820325,0.0
2023-02-02,1062.2447509765625,17610.400390625,-0.005534415417371874,-0.0003349392530399564,1077.0907156808037,17.815799865165175,0.0
2023-02-03,1063.1806640625,17854.05078125,0.0008810710385502851,0.013835596307890219,1071.420375279018,17.469009422703998,0.0
2023-02-06,1055.169189453125,17764.599609375,-0.0075353840416571005,-0.005010133160870178,1066.78369140625,17.504747783357306,0.0
2023-02-07,1052.6356201171875,17721.5,-0.002401102459455462,-0.0024261514654264627,1064.7327183314733,16.868557146348774,0.0
2023-02-08,1073.6573486328125,17871.69921875,0.019970565420619923,0.008475536424681795,1064.2240513392858,16.13575987718135,0.0
2023-02-09,1075.52880859375,17893.44921875,0.0017430700430827173,0.0012170079483646568,1064.3675362723213,15.841334650805724,0.0
2023-02-10,1066.6728515625,17856.5,-0.008234049111923936,-0.0020649578680046465,1064.1556047712054,15.608222454235262,0.0
2023-02-13,1060.6014404296875,17770.900390625,-0.005691914933354525,-0.00479375070002519,1063.9208461216517,14.215984720746475,0.0
2023-02-14,1085.5947265625,17929.849609375,0.023565201007728964,0.0089443537049958,1067.1228550502233,16.921957785524754,0.0
2023-02-15,1110.1768798828125,18015.849609375,0.0226439505635323,0.004796470794436125,1074.9810965401787,18.63154156663311,0.0
2023-02-16,1109.3094482421875,18035.849609375,-0.0007813454381400131,0.0011101336008929596,1083.077357700893,17.883444146003757,0.0
2023-02-17,1113.94287109375,17944.19921875,0.004176853319787899,-0.005081567689351307,1088.8324323381696,17.965743622875728,0.0
2023-02-20,1102.16552734375,17844.599609375,-0.010572664052723058,-0.005550518480140765,1092.6376778738838,18.295112167935688,0.0
2023-02-21,1111.1585693359375,17826.69921875,0.008159429567590415,-0.001003126492992057,1098.9927804129463,18.116911673876544,0.0
2023-02-22,1085.959716796875,17554.30078125,-0.022677998653353404,-0.015280363131582653,1102.6153913225446,19.68429618401431,0.0
2023-02-23,1080.7557373046875,17511.25,-0.0047920557380682904,-0.002452434977984641,1101.924107142857,19.652721268295647,0.0
2023-02-24,1088.1510009765625,17465.80078125,0.006842678152528814,-0.002595429723749043,1098.777553013393,19.238684594223564,0.0
2023-02-27,1080.91552734375,17392.69921875,-0.006649328655966902,-0.004185411445805309,1094.7212785993304,18.142515933486692,0.0
2023-02-28,1060.2362060546875,17303.94921875,-0.01913130190652368,-0.0051027157362857345,1087.0488978794642,19.07000032548686,0.0
2023-03-01,1069.982421875,17450.900390625,0.009192494808849982,0.008492348770636093,1082.4513113839287,19.35796813756337,0.0
2023-03-02,1061.8338623046875,17321.900390625,-0.007615601344210132,-0.007392168719804415,1075.4049246651787,19.430396553876168,0.0
2023-03-03,1088.9271240234375,17594.349609375,0.025515537487140083,0.015728598629827895,1075.8288399832588,21.250476890765036,0.0
2023-03-06,1099.5633544921875,17711.44921875,0.009767623777659828,0.006655523618366965,1078.5156424386162,21.452153619579654,0.0
2023-03-08,1103.5120849609375,17754.400390625,0.0035911804923451918,0.0024250512391459367,1080.7100830078125,21.193945461562038,0.0
2023-03-09,1076.9896240234375,17589.599609375,-0.024034590376451392,-0.009282249899975281,1080.1492396763392,23.033392274461594,0.0
2023-03-10,1060.3046875,17412.900390625,-0.015492198022396542,-0.010045664635585094,1080.1590227399554,22.663062409206685,0.0
2023-03-13,1042.8665771484375,17154.30078125,-0.016446320154142047,-0.014851035931626178,1076.2853306361608,23.303233658051123,0.0
2023-03-14,1038.9635009765625,17043.30078125,-0.0037426419231378905,-0.006470680525861194,1073.0181361607142,23.188073846478467,0.0
2023-03-15,1021.205810546875,16972.150390625,-0.017091736536458013,-0.004174683738684903,1063.3436628069196,23.79760789782304,0.0
2023-03-16,1016.1157836914062,16985.599609375,-0.004984330095755052,0.0007924286811309411,1051.4225812639509,21.96380580649068,0.0
2023-03-17,1014.8377075195312,17100.05078125,-0.0012578056481240552,0.006738129621978839,1038.7548130580358,19.904330862162954,0.0
2023-03-20,1004.8632202148438,16988.400390625,-0.009828652631628354,-0.0065292432199922645,1028.4510410853795,19.955692676755397,0.0
2023-03-21,1036.1102294921875,17107.5,0.031095783633779517,0.007010642946744028,1024.9946899414062,23.342575139440928,0.0
2023-03-22,1039.26025390625,17151.900390625,0.003040240627299351,0.0025953757489405316,1024.479500906808,23.28741913272943,0.0
2023-03-23,1026.1131591796875,17076.900390625,-0.01265043541995059,-0.004372693304643627,1022.6437377929688,23.18107464697682,0.0
2023-03-24,1005.7989501953125,16945.05078125,-0.019797240492086643,-0.007720933328590696,1020.4427577427456,22.903468248435722,0.0
2023-03-27,1021.4338989257812,16985.69921875,0.015544805179437349,0.0023988383407489433,1021.2024884905134,23.828851606102727,0.0
2023-03-28,1026.2044677734375,16951.69921875,0.004670462623840299,-0.002001683861354908,1022.8263113839286,23.732334241849323,0.0
2023-03-29,1020.1329956054688,17080.69921875,-0.005916435134161957,0.007609856589321451,1025.0077078683037,23.718247491433797,0.7465520417519811
2023-03-31,1064.116455078125,17359.75,0.04311541697222654,0.016337198944623932,1029.0085972377233,27.72952037543146,0.7768853777743944
