Date,Close,High,Low,Open,Volume,Return,MA_7,Year_High
2023-01-02,1175.8896484375,1177.3048023328713,1163.244668797144,1164.066351583663,5316175,,,1177.3048023328713
2023-01-03,1167.28466796875,1174.565828259546,1163.0621480210023,1170.9366586985077,7658932,-0.007317846942682227,,1177.3048023328713
2023-01-04,1149.7095947265625,1169.1107276232437,1147.6325061253483,1167.2618507099899,9264891,-0.015056372900683068,,1177.3048023328713
2023-01-05,1147.6552734375,1157.858025867488,1143.0674942432397,1151.969198619059,13637099,-0.0017868175567857802,,1177.3048023328713
2023-01-06,1158.0863037109375,1163.1306272948216,1149.5955006159752,1153.4072395784428,6349597,0.00908899258763829,,1177.3048023328713
2023-01-09,1185.4302978515625,1187.8041821914996,1161.0306065888913,1161.9207528429104,10722753,0.023611361306151935,,1187.8041821914996
2023-01-10,1167.9010009765625,1189.6302560157692,1162.240505708343,1189.6302560157692,8047142,-0.014787286023285828,1164.5652553013392,1189.6302560157692
2023-01-11,1153.1790771484375,1167.7184566325625,1150.873655990327,1165.2077656913489,11509553,-0.012605455270450983,1161.3208879743304,1189.6302560157692
2023-01-12,1128.2769775390625,1156.077627831873,1125.2641003718309,1152.5855061360771,17688773,-0.021594304044218804,1155.7483607700892,1189.6302560157692
2023-01-13,1126.451171875,1128.8705782042637,1111.3867843100481,1122.2513519945564,20618583,-0.001618224691639858,1152.4257289341517,1189.6302560157692
2023-01-16,1115.723388671875,1131.951774613395,1107.917221092014,1128.7791493112115,13623855,-0.009523522608857027,1147.8640311104912,1189.6302560157692
2023-01-17,1131.5638427734375,1133.481062404078,1118.6906511572718,1122.0686670526488,10751000,0.014197474268616395,1144.0751081194196,1189.6302560157692
2023-01-18,1129.692138671875,1137.178689301756,1123.1414974309203,1129.1444306357287,13448286,-0.0016540861689031683,1136.112513950893,1189.6302560157692
2023-01-19,1128.4825439453125,1132.6366004638107,1121.4524163802744,1128.8705038207283,11940054,-0.0010707295245805382,1130.4813058035713,1189.6302560157692
2023-01-20,1115.0615234375,1129.8291140692525,1112.596474928504,1129.8291140692525,14930286,-0.011892980161563704,1125.0359409877233,1189.6302560157692
2023-01-23,1109.423828125,1125.8120854761514,1107.0044217374414,1117.960395115449,10954118,-0.005055950002758713,1122.3426339285713,1189.6302560157692
2023-01-24,1102.873046875,1115.51790607312,1089.8171651533376,1113.851719292168,16488755,-0.005904669688834074,1118.974330357143,1189.6302560157692
2023-01-25,1087.6258544921875,1102.3022790893294,1086.4618542855478,1101.275205877952,12385018,-0.013824975073981172,1114.9603969029017,1189.6302560157692
2023-01-27,1066.992431640625,1089.817223588686,1055.260418546103,1088.4706538388855,25830975,-0.01897106690351369,1105.7359095982142,1189.6302560157692
2023-01-30,1077.218017578125,1082.764407064242,1050.3987961919847,1064.4132886312711,21772103,0.009583559952507814,1098.2396065848213,1189.6302560157692
2023-01-31,1074.5245361328125,1089.9541811505658,1068.6585300710096,1087.3749062182637,22691594,-0.0025004051188896037,1090.5313197544642,1189.6302560157692
2023-02-01,1068.1566162109375,1086.439272024598,1052.224782493373,1086.439272024598,19347800,-0.005926267579512867,1083.8306187220983,1189.6302560157692
2023-02-02,1062.244873046875,1071.8540341073915,1054.9637127057106,1058.1591593362568,13662663,-0.0055345284336983935,1077.0907679966517,1189.6302560157692
2023-02-03,1063.1806640625,1072.3105805967245,1046.7467660021255,1072.3105805967245,24699575,0.0008809560200002675,1071.4204275948662,1189.6302560157692
2023-02-06,1055.1690673828125,1059.528634971871,1052.5899131464937,1056.7896118119152,14837879,-0.007535498857808909,1066.7837437220983,1189.6302560157692
2023-02-07,1052.635498046875,1062.4501695052957,1046.7466710224398,1055.4201633910932,15135435,-0.002401102737233929,1064.7327532087054,1189.6302560157692
2023-02-08,1073.6572265625,1077.2863960062462,1053.137736379797,1055.8766387784026,21160332,0.019970567736533607,1064.2240687779017,1189.6302560157692
2023-02-09,1075.52880859375,1082.284961068636,1065.463103759131,1074.341987106508,13172763,0.0017431839370580793,1064.3675362723213,1189.6302560157692
2023-02-10,1066.6728515625,1075.0039060071294,1059.6655455942528,1075.0039060071294,10790445,-0.008234049111923936,1064.1555698939733,1189.6302560157692
2023-02-13,1060.6015625,1072.767178094588,1056.1278886860243,1068.2935042806123,10352493,-0.005691800493100141,1063.9208112444196,1189.6302560157692
2023-02-14,1085.5946044921875,1087.329254712915,1060.738368480938,1063.6143185684562,14321920,0.023564968104775375,1067.122802734375,1189.6302560157692
2023-02-15,1110.1768798828125,1112.5735854842064,1083.2664969637603,1084.6358877756606,33503591,0.022644065555321946,1074.9810616629463,1189.6302560157692
2023-02-16,1109.3095703125,1124.7163944448255,1107.0270912647763,1118.1656324865594,17264487,-0.000781235482407161,1083.077357700893,1189.6302560157692
2023-02-17,1113.9429931640625,1117.2754874405753,1100.4306882070916,1104.7217922905263,11809520,0.004176852860159785,1088.8324672154017,1189.6302560157692
2023-02-20,1102.16552734375,1118.3026298698114,1100.2025445254703,1116.13425652598,8836937,-0.010572772478113612,1092.6377127511162,1189.6302560157692
2023-02-21,1111.1585693359375,1116.9559918914763,1101.2296696771075,1106.5479683974272,13311592,0.008159429567590415,1098.9928152901787,1189.6302560157692
2023-02-22,1085.9598388671875,1109.2868172204335,1084.2023673241313,1107.4380609994967,11024335,-0.02267788879476451,1102.6154261997767,1189.6302560157692
2023-02-23,1080.7557373046875,1093.1953270218976,1077.9483712962124,1085.5490279902117,9851910,-0.004792167607163611,1101.9241594587054,1189.6302560157692
2023-02-24,1088.15087890625,1093.834315272933,1080.9839459876737,1082.8098807799356,9434053,0.006842565203498463,1098.777587890625,1189.6302560157692
