Date,Close,High,Low,Open,Volume,Daily Return,7-Day MA,52-Week High,52-Week Low
2023-01-02,2932.7939453125,2937.649919541841,2909.1891553518903,2932.3893356780377,709547,0.00013797950686133856,,,
2023-01-03,2977.665771484375,2985.4440242743467,2918.271577635895,2924.2963755843903,1245178,0.018250337532672085,,,
2023-01-04,2980.633056640625,2992.053454899718,2955.050003400902,2973.484221029113,1231668,0.002404194904063666,,,
2023-01-05,2977.44091796875,3001.00070304536,2951.228228425236,2994.6160814211885,1826057,-0.005735347365224685,,,
2023-01-06,2887.92236328125,2968.8530692467866,2877.5362121079547,2967.4592187363287,2488376,-0.026803015506628898,,,
2023-01-09,2985.39892578125,2991.738541892258,2896.5549480175173,2903.6139921160507,2885060,0.028166599929351277,,,
2023-01-10,2955.229248046875,2965.6604033817757,2904.6027770099295,2953.970413920295,3864655,0.0004261498763318376,2956.726318359375,,
2023-01-11,2993.266845703125,3011.9708735396725,2941.516115492318,2958.556699558339,2720512,0.01173212132455248,2965.365304129464,,
2023-01-12,2998.347900390625,3012.4207633052556,2981.442331005253,2993.5369316546853,2250391,0.0016071185509912585,2968.319893973214,,
2023-01-13,3034.49658203125,3038.4981115465553,2971.955092826684,3006.035821355623,1742837,0.00946787143168251,2976.0146833147323,,
2023-01-16,3066.225341796875,3083.6530407390187,3033.1172268351675,3050.544925777311,1843607,0.005140201636456248,2988.698172433036,,
2023-01-17,3107.0126953125,3110.139707684702,3054.2237329495765,3062.5007620361607,1688475,0.0145345052083333,3019.9967912946427,,
2023-01-18,3117.68115234375,3135.1088531125965,3101.3570106168763,3108.4844527793143,2421189,0.0029585798816567513,3038.8942522321427,,
2023-01-19,3102.138916015625,3114.9222389947813,3091.0108193863184,3108.484549100195,1585044,-0.0020413912259615494,3059.88134765625,,
2023-01-20,3092.942138671875,3121.9575463467286,3086.0446139576375,3094.689421787962,1529349,-0.0005646069372213935,3074.120675223214,,
2023-01-23,3140.58056640625,3144.3513027053577,3086.044322440379,3115.841536579629,1067916,0.007939758661083212,3094.439627511161,,
2023-01-24,3160.26171875,3174.654462857429,3142.787990669495,3149.8694039858374,1387863,0.003299284329379564,3112.406075613839,,
2023-01-25,3154.237548828125,3159.0658153581485,3131.475720900872,3150.1450630560485,874110,0.0012991420046244797,3124.979248046875,,
2023-01-27,3137.040283203125,3169.1827036169857,3110.599771674109,3150.789304292453,1785879,-0.00436367518151628,3129.2689034598216,,
2023-01-30,3157.82421875,3180.632075416511,3113.588234689339,3145.2708153947992,1953798,0.003991199515716439,3135.0036272321427,,
2023-01-31,3088.8955078125,3171.9417516673952,3081.8140938931406,3171.9417516673952,2820375,-0.026181516041787433,3133.1117117745534,,
2023-02-01,3134.557373046875,3144.3517688563857,3085.492888129036,3092.8502482199547,2205161,0.013485012683987616,3139.0567452566966,,
2023-02-02,3182.42578125,3190.3350325720744,3145.363262166592,3151.708894962381,1813847,0.009746105148453395,3145.0346330915177,,
2023-02-03,3202.56640625,3222.5231973552636,3175.5279775823224,3222.5231973552636,1804469,-0.006192908439462043,3151.0781598772323,,
2023-02-06,3182.011962890625,3194.1515611886443,3160.7677220012893,3194.1515611886443,1138714,-0.003800570531944893,3155.0459333147323,,
2023-02-07,3193.599853515625,3212.4070586382527,3183.345399100722,3190.2429235610102,1455647,0.001052249008946222,3163.1258719308034,,
2023-02-08,3237.33056640625,3255.53985339965,3198.658396691303,3198.658396691303,1986946,0.01209012183199977,3174.4839215959823,,
2023-02-09,3256.4130859375,3262.620857439781,3223.718777786401,3232.639530446887,1655427,0.007354224084281531,3198.4150041852677,,
2023-02-10,3253.378662109375,3257.7931230269464,3226.340229319755,3237.238408660434,1187821,0.00498580932617193,3215.389474051339,,
2023-02-13,3202.658203125,3263.9083050860527,3194.3811744561426,3263.9083050860527,1087939,-0.018765877051634215,3218.2798200334823,,
2023-02-14,3218.936767578125,3241.6985980328905,3214.246361188052,3223.4430603616947,1579818,-0.001397974991084252,3220.6184430803573,,
2023-02-15,3237.835693359375,3242.7560170595057,3182.1956652731296,3206.888891516306,1429449,0.009650101044952758,3228.59326171875,,
2023-02-16,3272.2314453125,3287.8198047959163,3243.6756507734817,3243.8595398428197,1618931,0.008746342164696523,3239.826346261161,,
2023-02-17,3219.90185546875,3254.619390688415,3209.6476269306054,3242.893600647336,1061369,-0.00708988576560032,3237.3365304129466,,
2023-02-20,3207.1650390625,3239.0775411980735,3195.8990822539604,3220.6841423269884,1296082,-0.00419758742771984,3230.301095145089,,
2023-02-21,3173.78125,3227.030054530694,3168.0333123551145,3213.3270609968126,1139541,-0.012306811677160882,3218.9300362723216,,
2023-02-22,3128.30322265625,3170.1021750983955,3122.2793398488698,3140.6267096205747,1218430,-0.00392389421085117,3208.3078962053573,,
2023-02-23,3139.569091796875,3175.068214566864,3134.2349615691996,3146.1906700493637,1441570,-0.0021046334907555988,3196.969656808036,,
2023-02-24,3127.29150390625,3158.1004459242777,3110.5995848333705,3147.5702703492466,977592,-0.006442673141891921,3181.1776297433034,,
