Date,Close,High,Low,Open,Volume,Market_Close,Daily_Return,MA_7,52_Week_High,52_Week_Low,Volatility_Score,Market_Correlation
2023-01-02,183.37892150878906,183.7754949915001,182.18921529874464,183.35559951960727,5559512,18197.44921875,0.00012719540195608444,0.0,183.7754949915001,182.18921529874464,0.0,0.0
2023-01-03,185.24514770507812,185.57174100232933,182.74909670871764,183.3789328364186,5994422,18232.55078125,0.01017682260330444,0.0,185.57174100232933,182.18921529874464,0.0,0.0
2023-01-04,181.81597900390625,185.45509209698903,181.30276709639747,185.45509209698903,8926522,18042.94921875,-0.019622610799921343,0.0,185.57174100232933,181.30276709639747,0.0,0.0
2023-01-05,180.50962829589844,182.9823715119509,179.03998695095473,181.95594765048168,9568980,17992.150390625,-0.007948733598758015,0.0,185.57174100232933,179.03998695095473,0.0,0.0
2023-01-06,178.22352600097656,181.39608569005114,177.94359091356645,180.55629466591083,8484754,17859.44921875,-0.01291989664082696,0.0,185.57174100232933,177.94359091356645,0.0,0.0
2023-01-09,182.7957305908203,183.35560071572212,179.6698294013699,180.0897248760019,7347432,18101.19921875,0.015025875111317968,0.0,185.57174100232933,177.94359091356645,0.0,0.0
2023-01-10,183.37892150878906,183.7754949915001,180.71957402807544,182.88904583126222,7879496,17914.150390625,0.0026785402881854964,182.1925506591797,185.57174100232933,177.94359091356645,0.0,0.0
2023-01-11,183.75218200683594,184.75526963831499,182.65577793787958,183.3556085046914,7656600,17895.69921875,0.002162865403347623,182.2458735874721,185.57174100232933,177.94359091356645,0.0,0.0
2023-01-12,184.05543518066406,185.6417149176198,182.18922037528344,184.6386273073455,9510500,17858.19921875,-0.0031585596967782367,182.07591465541296,185.6417149176198,177.94359091356645,0.0,0.0
2023-01-13,183.77549743652344,185.0351981070501,180.32300294445437,184.755263042701,13621860,17956.599609375,-0.005303045715948595,182.35584586007255,185.6417149176198,177.94359091356645,0.0,0.0
2023-01-16,185.9683074951172,187.08803352646075,181.48938913165395,181.9559428312212,23867444,17894.849609375,0.02205129770132205,183.13565717424666,187.08803352646075,177.94359091356645,0.0,0.0
2023-01-17,184.9185791015625,187.57792689691314,183.7055365207282,186.64481940982373,14310032,18053.30078125,-0.009248798406082991,184.09209333147322,187.57792689691314,177.94359091356645,0.0,0.0
2023-01-18,188.1144561767578,188.41771323195002,185.6883712590423,185.9216481073577,16080426,18165.349609375,0.011794258988786022,184.85191127232142,188.41771323195002,177.94359091356645,0.0,0.0
2023-01-19,188.207763671875,188.48769874535228,186.03829176908224,187.60124954441525,9447456,18107.849609375,0.0032329962030245014,185.54174586704798,188.48769874535228,177.94359091356645,0.0,0.0
2023-01-20,188.09112548828125,189.14087133661505,187.22799827647782,188.27774412481162,9265614,18027.650390625,-0.0009911879781534733,186.1615949358259,189.14087133661505,177.94359091356645,0.0,0.0
2023-01-23,189.88735961914062,190.23727490099407,187.7878679280199,189.04756863792804,8815290,18118.55078125,0.004442220480608195,186.9947269984654,190.23727490099407,177.94359091356645,0.0,0.0
2023-01-24,190.16798400878906,191.85171714417572,189.48980915866605,191.00984343990316,9552640,18118.30078125,-0.004407413858642179,187.90793936593192,191.85171714417572,177.94359091356645,0.0,0.0
2023-01-25,187.8060760498047,189.84058632730262,187.0811423325295,189.41965661168612,6355554,17891.94921875,-0.008518548659336371,188.17047773088728,191.85171714417572,177.94359091356645,0.0,0.0
2023-01-27,186.16912841796875,188.7648880041132,184.36848372196332,187.80608852208962,7410134,17604.349609375,-0.008716224894531764,188.34912763323103,191.85171714417572,177.94359091356645,0.0,0.0
2023-01-30,188.1334686279297,189.32610516851412,184.76600244850837,186.1691109777409,7261256,17648.94921875,0.01055146925218789,188.35184369768416,191.85171714417572,177.94359091356645,0.0,0.0
2023-01-31,186.54330444335938,188.27379660875596,186.00544896321125,188.15687088380378,9566846,17662.150390625,-0.00857564452929736,188.1140638078962,191.85171714417572,177.94359091356645,16.215832567325002,0.0
2023-02-01,188.20362854003906,188.9051828320172,186.30943766096152,187.7826988194839,7029896,17616.30078125,0.002241578820633556,188.13013567243303,191.85171714417572,177.94359091356645,16.240052996325726,0.0
2023-02-02,191.50096130371094,191.7581921937312,188.20364723989832,188.20364723989832,10835460,17610.400390625,0.01751992648479134,188.36065019880022,191.85171714417572,177.94359091356645,17.014315182460344,0.0
2023-02-03,190.7760009765625,193.1612885076814,189.95752094051298,192.95081650343363,8850236,17854.05078125,-0.011271346586047885,188.447509765625,193.1612885076814,177.94359091356645,16.01032406093765,0.0
2023-02-06,189.25595092773438,189.98089889200642,187.82946297819063,189.60672805694918,5958022,17764.599609375,-0.001850024694848632,188.6546347481864,193.1612885076814,177.94359091356645,15.741625619477945,0.0
2023-02-07,187.31500244140625,189.6535168289394,186.636827559758,189.6535168289394,6683580,17721.5,-0.012330456226880272,188.8183310372489,193.1612885076814,177.94359091356645,15.678104236320985,0.0
2023-02-08,190.23812866210938,190.63567892758985,187.5488373534256,187.5488373534256,8300976,17871.69921875,0.014339152119700719,189.1189967564174,193.1612885076814,177.94359091356645,15.601348064697884,0.0
2023-02-09,190.9630889892578,191.26710729378627,188.74150020694586,190.23815520113575,5277374,17893.44921875,0.0038106645186692305,189.7503945486886,193.1612885076814,177.94359091356645,15.623505911825363,0.0
2023-02-10,189.79380798339844,190.3550571042713,188.39069945437433,190.3550571042713,5160140,17856.5,-0.0029484329411087603,189.9775630405971,193.1612885076814,177.94359091356645,15.669504129945233,0.0
2023-02-13,187.3617706298828,189.72366438957843,186.70698947331798,189.72366438957843,4825356,17770.900390625,-0.01244912577086698,189.38625008719308,193.1612885076814,177.94359091356645,16.269537816131436,0.0
2023-02-14,189.46641540527344,190.0978170674669,187.7826823971433,188.48423662776773,4638822,17929.849609375,0.005210933259344051,189.19916643415178,193.1612885076814,177.94359091356645,16.232281655275543,0.0
2023-02-15,190.54214477539062,190.75261677437803,187.24484527897997,188.34394986883643,5227672,18015.849609375,0.01167117344669168,189.3829084123884,193.1612885076814,177.94359091356645,14.848058266660654,0.0
2023-02-16,191.71139526367188,193.27820266501325,191.0799935618587,191.19691927429972,11189362,18035.849609375,0.0026908173590081126,190.0109645298549,193.27820266501325,177.94359091356645,14.465173528995065,0.0
2023-02-17,190.02767944335938,190.82278006957978,188.95196850027017,190.2849245980352,5616244,17944.19921875,-0.0013518945613754142,189.98090035574776,193.27820266501325,177.94359091356645,13.9048270058327,0.0
2023-02-20,190.3784637451172,190.72924092750458,188.1101160508735,189.55998365287996,6497188,17844.599609375,0.0043177894219278605,189.89738246372767,193.27820266501325,177.94359091356645,13.94056225787045,0.0
2023-02-21,188.36734008789062,190.82278027525606,188.06333606218206,190.54215568492523,5761172,17826.69921875,-0.011413829077439527,189.69360133579798,193.27820266501325,177.94359091356645,14.505234616029835,0.0
2023-02-22,184.81277465820312,187.24483513924093,184.48539123358978,186.84728486999234,6883372,17554.30078125,-0.010888626041340745,189.32945905412947,193.27820266501325,177.94359091356645,14.837433063545161,0.0
2023-02-23,184.25155639648438,186.47314508988276,183.99431124703742,185.11679531117528,6078322,17511.25,-0.004674016278406654,188.58447919573103,193.27820266501325,177.94359091356645,14.845285293127612,0.0
2023-02-24,183.94752502441406,185.44417985228344,183.59674788724075,185.18694899428633,5106634,17465.80078125,-0.006692825691029142,187.64239065987724,193.27820266501325,177.94359091356645,14.743105174868187,0.0
2023-02-27,182.5678253173828,183.94754027408436,180.27608401915836,183.6903093947622,5554710,17392.69921875,-0.006110741938852676,186.33616638183594,193.27820266501325,177.94359091356645,14.5979953936053,0.0
2023-02-28,181.02439880371094,183.9007830106504,180.39301131746527,183.26938125124516,10061602,17303.94921875,-0.012249631838155039,185.04998343331474,193.27820266501325,177.94359091356645,14.487240532151166,0.0
2023-03-01,182.84844970703125,183.22260630803277,181.14132274791834,181.51549362207928,4542612,17450.900390625,0.007343483789473247,183.9742671421596,193.27820266501325,177.94359091356645,14.619207508853037,0.0
2023-03-02,181.49209594726562,182.5678211296639,181.14131878905818,181.79611423623936,4438972,17321.900390625,-0.0016723035596826492,182.9920894077846,193.27820266501325,177.94359091356645,14.566070249844143,0.0
2023-03-03,182.61459350585938,183.08229638150695,181.98319176910334,182.6847460825747,4393936,17594.349609375,-0.00038400894557231557,182.67806352887834,193.27820266501325,177.94359091356645,12.859231286346748,0.0
2023-03-06,184.1580047607422,185.51434022688795,183.38629788113846,183.549996740002,6727722,17711.44921875,0.0033124926806805005,182.6646990094866,193.27820266501325,177.94359091356645,12.556558095699987,0.0
2023-03-08,183.62014770507812,183.8072259964988,181.86626196083674,183.17582427394015,4908842,17754.400390625,0.0024256663394263567,182.61793082101005,193.27820266501325,177.94359091356645,12.630353727807137,0.0
2023-03-09,182.45089721679688,184.20478302520016,182.21704577567644,183.71368643495168,4157054,17589.599609375,-0.0068736806857442765,182.60122680664062,193.27820266501325,177.94359091356645,12.164688264614819,0.0
